asset_tag,motor_tag,service_area,location,manufacturer,model,serial_number,install_date,register_revision,record_owner,component,item_description,unit,source_value,asset_status,note
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump casing,equipment item,tag,P-1201A,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1201A,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,motor rating,kW,55,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,nameplate speed,rpm,2960,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.0,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump shaft,impeller diameter,mm,205,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,DE bearing,bearing part number,part,6311-C3,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,NDE bearing,bearing part number,part,6309-C3,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-APV-35,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.2,installed,ISO VG 68 mineral oil
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
