work_order,service_date,asset_tag,component,item_description,unit,source_value,status,technician,shift,note
WO-58342,2026-05-06,P-1201A,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-AR,days,Lube oil drained and refilled; seal flush checked
WO-58342,2026-05-06,P-1201A,Work order,CMMS closure status,text,closed,closed,MT-AR,days,
WO-58343,2026-05-06,P-1201B,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-AR,days,Seal leak cup checked; coupling guard refitted
WO-58343,2026-05-06,P-1201B,Work order,CMMS closure status,text,closed,closed,MT-AR,days,
WO-58344,2026-05-07,P-1201C,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-JP,days,Bearing housing temperature noted high during walkdown
WO-58344,2026-05-07,P-1201C,Work order,CMMS closure status,text,closed,closed,MT-JP,days,
WO-58346,2026-05-08,P-1202A,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-JP,days,Soft foot values recorded after motor inspection
WO-58346,2026-05-08,P-1202A,Work order,CMMS closure status,text,closed,closed,MT-JP,days,
WO-58347,2026-05-08,P-1202B,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-AR,days,Vibration trend copied from portable meter
WO-58347,2026-05-08,P-1202B,Work order,CMMS closure status,text,closed,closed,MT-AR,days,
WO-58350,2026-05-09,P-1210A,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-SL,days,Drainage from seal pot checked
WO-58350,2026-05-09,P-1210A,Work order,CMMS closure status,text,closed,closed,MT-SL,days,
WO-58351,2026-05-09,P-1210B,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-SL,days,Grease purge observed at NDE bearing
WO-58351,2026-05-09,P-1210B,Work order,CMMS closure status,text,closed,closed,MT-SL,days,
WO-58355,2026-05-10,P-1220A,Work order,CMMS task title,text,Quarterly pump PM,closed,MT-AR,days,Minor weep from seal quench line noted
WO-58355,2026-05-10,P-1220A,Work order,CMMS closure status,text,closed,closed,MT-AR,days,
WO-58342,2026-05-06,P-1201A,Coupling,vertical offset,mm,0.08,closed,MT-AR,days,Dial gauge after warm run
WO-58342,2026-05-06,P-1201A,Coupling,horizontal offset,mm,0.12,closed,MT-AR,days,Dial gauge after warm run
WO-58342,2026-05-06,P-1201A,DE bearing,oil fill volume,L,1.15,closed,MT-AR,days,Sight glass midline after refill
WO-58343,2026-05-06,P-1201B,Mechanical seal,seal leakage,ml/min,14.0,closed,MT-AR,days,Measured in catch bottle
