asset_tag,service_date,component,measurement_type,unit,source_value,rpm,instrument_id,route_id,reading_position,note
P-1201A,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,2.24,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-06,DE bearing,vibration velocity vertical,mm/s,2.04,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-06,DE bearing,vibration velocity axial,mm/s,2.34,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-06,NDE bearing,vibration velocity horizontal,mm/s,2.08,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-06,NDE bearing,vibration velocity vertical,mm/s,2.22,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-06,NDE bearing,vibration velocity axial,mm/s,2.43,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-06,DE bearing,bearing temperature,degC,58.4,2960,IR-18,TR-PSK12,cap surface,
P-1201A,2026-05-06,NDE bearing,bearing temperature,degC,56.3,2960,IR-18,TR-PSK12,cap surface,
P-1201A,2026-05-07,DE bearing,vibration velocity horizontal,mm/s,2.09,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-07,DE bearing,vibration velocity vertical,mm/s,2.27,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-07,DE bearing,vibration velocity axial,mm/s,2.24,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-07,NDE bearing,vibration velocity horizontal,mm/s,2.08,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-07,NDE bearing,vibration velocity vertical,mm/s,2.06,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-07,NDE bearing,vibration velocity axial,mm/s,2.55,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-07,DE bearing,bearing temperature,degC,58.6,2960,IR-18,TR-PSK12,cap surface,
P-1201A,2026-05-07,NDE bearing,bearing temperature,degC,62.7,2960,IR-18,TR-PSK12,cap surface,
P-1201A,2026-05-08,DE bearing,vibration velocity horizontal,mm/s,1.97,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-08,DE bearing,vibration velocity vertical,mm/s,2.18,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-08,DE bearing,vibration velocity axial,mm/s,2.24,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-08,NDE bearing,vibration velocity horizontal,mm/s,2.05,2960,VM-44,VR-PSK12,horizontal,
P-1201A,2026-05-08,NDE bearing,vibration velocity vertical,mm/s,2.1,2960,VM-44,VR-PSK12,vertical,
P-1201A,2026-05-08,NDE bearing,vibration velocity axial,mm/s,2.46,2960,VM-44,VR-PSK12,axial,
P-1201A,2026-05-08,DE bearing,bearing temperature,degC,53.5,2960,IR-18,TR-PSK12,cap surface,
P-1201A,2026-05-08,NDE bearing,bearing temperature,degC,54.2,2960,IR-18,TR-PSK12,cap surface,
P-1201B,2026-05-06,DE bearing,vibration velocity horizontal,mm/s,6.2,2960,VM-44,VR-PSK12,horizontal,
P-1201B,2026-05-06,DE bearing,vibration velocity vertical,mm/s,1.99,2960,VM-44,VR-PSK12,vertical,
